year,subject_area_abbrev,country,article_amount
2019,BIOC,Thailand,364
2019,BUSI,Thailand,63
2019,BUSI,Thailand,63
2019,CENG,Thailand,213
2019,CHEM,Thailand,308
2019,CHEM,Thailand,308
2019,CHEM,Thailand,308
2019,COMP,Thailand,303
2019,COMP,Thailand,303
2019,COMP,Thailand,303
2019,EART,Thailand,101
2019,ECON,Thailand,46
2019,ENER,Thailand,150
2019,ENER,Thailand,150
2019,ENGI,Thailand,482
2019,ENGI,Thailand,482
2019,ENVI,Thailand,214
2019,MATE,Thailand,298
2019,MATE,Thailand,298
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MULT,Thailand,91
2019,MULT,Thailand,91
2019,NURS,Thailand,30
2019,PHAR,Thailand,144
2019,PHAR,Thailand,144
2019,PHYS,Thailand,375
2020,AGRI,Thailand,309
2020,BIOC,Thailand,371
2020,BIOC,Thailand,371
2020,BIOC,Thailand,371
2020,BIOC,Thailand,371
2020,CENG,Thailand,238
2020,CENG,Thailand,238
2020,CHEM,Thailand,319
2020,CHEM,Thailand,319
2020,CHEM,Thailand,319
2020,CHEM,Thailand,319
2020,CHEM,Thailand,319
2020,COMP,Thailand,265
2020,COMP,Thailand,265
2020,DECI,Thailand,68
2020,DECI,Thailand,68
2020,ECON,Thailand,85
2020,ENER,Thailand,194
2020,ENGI,Thailand,505
2020,ENGI,Thailand,505
2020,MATE,Thailand,350
2020,MATE,Thailand,350
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MULT,Thailand,134
2020,MULT,Thailand,134
2020,PHAR,Thailand,172
2020,PHYS,Thailand,342
2020,SOCI,Thailand,168
2021,AGRI,Thailand,331
2021,AGRI,Thailand,331
2021,AGRI,Thailand,331
2021,AGRI,Thailand,331
2021,BIOC,Thailand,453
2021,BIOC,Thailand,453
2021,BIOC,Thailand,453
2021,BUSI,Thailand,76
2021,CENG,Thailand,311
2021,CHEM,Thailand,433
2021,CHEM,Thailand,433
2021,COMP,Thailand,267
2021,DENT,Thailand,76
2021,DENT,Thailand,76
2021,ENGI,Thailand,514
2021,ENVI,Thailand,333
2021,ENVI,Thailand,333
2021,ENVI,Thailand,333
2021,HEAL,Thailand,57
2021,HEAL,Thailand,57
2021,IMMU,Thailand,209
2021,IMMU,Thailand,209
2021,MATE,Thailand,345
2021,MATE,Thailand,345
2021,MATH,Thailand,113
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,NEUR,Thailand,85
2021,NURS,Thailand,65
2021,PHYS,Thailand,365
2021,SOCI,Thailand,259
2021,SOCI,Thailand,259
2022,AGRI,Thailand,422
2022,AGRI,Thailand,422
2022,AGRI,Thailand,422
2022,ARTS,Thailand,73
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BUSI,Thailand,117
2022,CENG,Thailand,335
2022,CENG,Thailand,335
2022,CHEM,Thailand,447
2022,CHEM,Thailand,447
2022,COMP,Thailand,380
2022,DECI,Thailand,79
2022,DECI,Thailand,79
2022,ECON,Thailand,65
2022,ENER,Thailand,247
2022,ENGI,Thailand,566
2022,ENGI,Thailand,566
2022,ENGI,Thailand,566
2022,ENGI,Thailand,566
2022,ENVI,Thailand,369
2022,ENVI,Thailand,369
2018,PHYS,Pakistan,147
2019,MEDI,Pakistan,12
2020,MATH,Pakistan,8
2022,MATH,Pakistan,10
2022,PHYS,Pakistan,74
2023,MEDI,Pakistan,19
2023,PHYS,Pakistan,36
2018,MEDI,Philippines,16
2020,MEDI,Philippines,25
2023,MEDI,Philippines,32
2018,CHEM,Poland,1
2018,ENGI,Poland,20
2018,PHYS,Poland,149
2020,ENGI,Poland,16
2020,PHYS,Poland,94
2021,PHYS,Poland,84
2022,PHYS,Poland,69
2022,PHYS,Poland,69
2023,MEDI,Poland,18
2020,PHYS,Portugal,93
2022,MEDI,Portugal,9
2023,MEDI,Portugal,13
2019,PHYS,Qatar,59
2021,PHYS,Qatar,68
2018,ENGI,Russian Federation,19
2019,ENGI,Russian Federation,23
2019,MEDI,Russian Federation,5
2020,COMP,Russian Federation,1
2020,ENGI,Russian Federation,17
2021,ENGI,Russian Federation,18
2022,PHYS,Russian Federation,70
2022,PHYS,Russian Federation,70
2022,PHYS,Russian Federation,70
2019,DENT,Saudi Arabia,1
2018,PHYS,Serbia,145
2022,MEDI,Serbia,9
2022,PHYS,Serbia,63
2020,MULT,Singapore,5
2021,BIOC,Singapore,15
2022,MEDI,Singapore,39
2023,SOCI,Singapore,8
2020,PHYS,South Africa,3
2019,MEDI,South Korea,32
2019,MEDI,South Korea,32
2019,PHYS,South Korea,120
2020,MEDI,South Korea,46
2021,MATE,South Korea,6
2021,PHYS,South Korea,86
2022,PSYC,South Korea,4
2023,BIOC,South Korea,19
2018,MEDI,Spain,12
2018,MEDI,Spain,12
2018,PHYS,Spain,149
2020,PHYS,Spain,95
2019,PHYS,Sri Lanka,93
2021,PHYS,Sri Lanka,74
2019,MEDI,Sweden,9
2020,BIOC,Sweden,5
2022,AGRI,Sweden,5
2022,ENGI,Sweden,8
2022,PHAR,Sweden,3
2018,ENGI,Switzerland,22
2019,PHYS,Switzerland,120
2020,PHAR,Switzerland,6
2020,PHYS,Switzerland,97
2021,PHYS,Switzerland,77
2023,PHYS,Switzerland,34
2018,PHYS,Taiwan,150
2019,MEDI,Taiwan,33
2019,PHYS,Taiwan,118
2019,PHYS,Taiwan,118
2020,EART,Taiwan,9
2020,MEDI,Taiwan,45
2023,MEDI,Taiwan,44
2018,BIOC,Thailand,326
2018,BIOC,Thailand,326
2018,CENG,Thailand,192
2018,CHEM,Thailand,282
2018,CHEM,Thailand,282
2018,CHEM,Thailand,282
2018,ENER,Thailand,86
2018,ENGI,Thailand,417
2018,ENGI,Thailand,417
2018,ENGI,Thailand,417
2018,IMMU,Thailand,148
2018,IMMU,Thailand,148
2018,IMMU,Thailand,148
2018,MATE,Thailand,293
2018,MATH,Thailand,83
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,NEUR,Thailand,82
2018,PHYS,Thailand,372
2018,PHYS,Thailand,372
2018,SOCI,Thailand,139
2019,AGRI,Thailand,223
2019,BUSI,Thailand,63
2019,BUSI,Thailand,63
2019,CENG,Thailand,213
2019,CENG,Thailand,213
2019,CHEM,Thailand,308
2019,CHEM,Thailand,308
2019,COMP,Thailand,303
2019,COMP,Thailand,303
2019,EART,Thailand,101
2019,ENER,Thailand,150
2019,ENGI,Thailand,482
2019,ENVI,Thailand,214
2019,ENVI,Thailand,214
2019,ENVI,Thailand,214
2019,IMMU,Thailand,151
2019,MATE,Thailand,298
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,PHAR,Thailand,144
2019,PHYS,Thailand,375
2019,PHYS,Thailand,375
2019,SOCI,Thailand,147
2019,SOCI,Thailand,147
2020,AGRI,Thailand,309
2020,AGRI,Thailand,309
2020,BIOC,Thailand,371
2020,CENG,Thailand,238
2020,COMP,Thailand,265
2020,DENT,Thailand,47
2020,ECON,Thailand,85
2020,ENGI,Thailand,505
2020,ENGI,Thailand,505
2020,ENGI,Thailand,505
2020,ENGI,Thailand,505
2020,ENGI,Thailand,505
2020,HEAL,Thailand,38
2020,IMMU,Thailand,179
2020,IMMU,Thailand,179
2020,MATE,Thailand,350
2020,MATE,Thailand,350
2020,MATH,Thailand,110
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MULT,Thailand,134
2020,MULT,Thailand,134
2020,PHAR,Thailand,172
2020,PHAR,Thailand,172
2020,PHAR,Thailand,172
2020,PHYS,Thailand,342
2020,PHYS,Thailand,342
2020,PSYC,Thailand,31
2020,SOCI,Thailand,168
2020,SOCI,Thailand,168
2020,SOCI,Thailand,168
2021,AGRI,Thailand,331
2021,ARTS,Thailand,68
2021,BIOC,Thailand,453
2021,CENG,Thailand,311
2021,COMP,Thailand,267
2021,ENER,Thailand,204
2021,ENGI,Thailand,514
2021,ENVI,Thailand,333
2021,MATE,Thailand,345
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MULT,Thailand,241
2021,PHYS,Thailand,365
2021,PHYS,Thailand,365
2021,SOCI,Thailand,259
2021,SOCI,Thailand,259
2021,VETE,Thailand,101
2022,AGRI,Thailand,422
2022,AGRI,Thailand,422
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BUSI,Thailand,117
2022,CENG,Thailand,335
2022,CENG,Thailand,335
2022,CENG,Thailand,335
2022,CENG,Thailand,335
2022,CHEM,Thailand,447
2022,CHEM,Thailand,447
2022,COMP,Thailand,380
2022,COMP,Thailand,380
2022,COMP,Thailand,380
2022,COMP,Thailand,380
2022,COMP,Thailand,380
2022,COMP,Thailand,380
2022,ENGI,Thailand,566
2022,ENGI,Thailand,566
2022,ENGI,Thailand,566
2022,ENVI,Thailand,369
2022,MULT,Norway,6
2023,PSYC,Oman,1
2018,PHYS,Pakistan,147
2018,PHYS,Pakistan,147
2021,ENGI,Pakistan,26
2021,NEUR,Peru,2
2022,MEDI,Philippines,18
2023,MEDI,Philippines,32
2018,PHYS,Poland,149
2020,ENER,Poland,2
2020,MATH,Poland,9
2020,PHYS,Poland,94
2021,PHYS,Poland,84
2022,ENVI,Poland,6
2022,IMMU,Poland,4
2022,PHYS,Poland,69
2023,ENGI,Poland,7
2023,PHYS,Poland,34
2019,ENGI,Portugal,21
2020,MATH,Portugal,7
2018,PHYS,Qatar,121
2018,PHYS,Qatar,121
2018,PHYS,Qatar,121
2020,PHYS,Qatar,47
2022,PHYS,Qatar,50
2018,ENGI,Romania,2
2018,MEDI,Russian Federation,4
2020,PHYS,Russian Federation,97
2022,NEUR,Russian Federation,3
2022,PHYS,Russian Federation,70
2019,MEDI,Saudi Arabia,7
2021,ENVI,Saudi Arabia,9
2018,PHYS,Serbia,145
2020,PHYS,Serbia,91
2022,NEUR,Serbia,3
2022,PHYS,Serbia,63
2023,PHYS,Serbia,30
2021,MEDI,Singapore,52
2022,COMP,Slovakia,2
2022,MEDI,South Africa,16
2022,SOCI,South Africa,6
2019,AGRI,South Korea,7
2020,ENGI,South Korea,20
2020,MEDI,South Korea,46
2021,CENG,South Korea,12
2021,PHYS,South Korea,86
2021,PSYC,South Korea,4
2022,MEDI,South Korea,38
2022,ARTS,Slovakia,1
2018,PHYS,Spain,149
2022,MEDI,Spain,23
2021,ENGI,Sri Lanka,14
2022,MULT,Sri Lanka,1
2018,PHYS,Switzerland,150
2019,PHYS,Switzerland,120
2020,PHYS,Switzerland,97
2021,MEDI,Switzerland,33
2022,EART,Switzerland,2
2022,MEDI,Switzerland,18
2022,PHYS,Switzerland,67
2019,PHYS,Taiwan,118
2021,CENG,Taiwan,11
2022,PHYS,Taiwan,73
2018,AGRI,Thailand,235
2018,BIOC,Thailand,326
2018,BIOC,Thailand,326
2018,BUSI,Thailand,62
2018,BUSI,Thailand,62
2018,CENG,Thailand,192
2018,CHEM,Thailand,282
2018,COMP,Thailand,213
2018,DECI,Thailand,32
2018,DECI,Thailand,32
2018,EART,Thailand,93
2018,ECON,Thailand,30
2018,ENGI,Thailand,417
2018,IMMU,Thailand,148
2018,IMMU,Thailand,148
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,PHYS,Thailand,372
2019,BIOC,Thailand,364
2019,BIOC,Thailand,364
2019,BIOC,Thailand,364
2019,CHEM,Thailand,308
2019,CHEM,Thailand,308
2019,CHEM,Thailand,308
2019,COMP,Thailand,303
2019,COMP,Thailand,303
2019,ENVI,Thailand,214
2019,IMMU,Thailand,151
2019,IMMU,Thailand,151
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MULT,Thailand,91
2019,PHYS,Thailand,375
2019,PHYS,Thailand,375
2019,PHYS,Thailand,375
2019,SOCI,Thailand,147
2019,VETE,Thailand,52
2020,AGRI,Thailand,309
2020,AGRI,Thailand,309
2020,AGRI,Thailand,309
2020,ARTS,Thailand,44
2020,BUSI,Thailand,92
2020,BUSI,Thailand,92
2020,CENG,Thailand,238
2020,CHEM,Thailand,319
2020,COMP,Thailand,265
2020,ENGI,Thailand,505
2020,ENGI,Thailand,505
2020,ENVI,Thailand,285
2020,ENVI,Thailand,285
2020,MATE,Thailand,350
2020,MATE,Thailand,350
2020,MATE,Thailand,350
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MULT,Thailand,134
2020,MULT,Thailand,134
2020,PHAR,Thailand,172
2020,PHYS,Thailand,342
2020,PHYS,Thailand,342
2020,VETE,Thailand,71
2021,BIOC,Thailand,453
2021,BIOC,Thailand,453
2021,CHEM,Thailand,433
2021,CHEM,Thailand,433
2021,EART,Thailand,132
2021,ENGI,Thailand,514
2021,ENVI,Thailand,333
2021,ENVI,Thailand,333
2021,ENVI,Thailand,333
2021,HEAL,Thailand,57
2021,MATE,Thailand,345
2021,MATE,Thailand,345
2021,MATH,Thailand,113
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MULT,Thailand,241
2021,MULT,Thailand,241
2021,NEUR,Thailand,85
2021,PHAR,Thailand,183
2021,PHYS,Thailand,365
2022,AGRI,Thailand,422
2022,ARTS,Thailand,73
2022,ARTS,Thailand,73
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BUSI,Thailand,117
2022,CENG,Thailand,335
2022,CENG,Thailand,335
2022,CHEM,Thailand,447
2022,COMP,Thailand,380
2022,COMP,Thailand,380
2022,COMP,Thailand,380
2022,DENT,Thailand,98
2022,ECON,Thailand,65
2022,ECON,Thailand,65
2022,ENER,Thailand,247
2022,ENGI,Thailand,566
2022,ENGI,Thailand,566
2023,MATE,New Zealand,1
2018,ENGI,Nigeria,1
2022,MEDI,Nigeria,11
2022,MULT,Norway,6
2021,PHYS,Pakistan,83
2022,COMP,Pakistan,27
2022,MATE,Pakistan,16
2022,PHYS,Pakistan,74
2023,ENGI,Pakistan,15
2023,ENVI,Pakistan,7
2020,MEDI,Philippines,25
2023,MEDI,Philippines,32
2019,ENGI,Poland,23
2019,PHYS,Poland,119
2020,EART,Poland,5
2020,MEDI,Poland,10
2020,PHYS,Poland,94
2022,ENGI,Poland,12
2022,PHYS,Poland,69
2018,PHYS,Portugal,146
2018,PHYS,Qatar,121
2018,PHYS,Qatar,121
2022,PHYS,Qatar,50
2022,PHYS,Qatar,50
2022,DECI,Romania,2
2022,PSYC,Romania,6
2019,CHEM,Russian Federation,4
2019,PHYS,Russian Federation,124
2019,PHYS,Russian Federation,124
2019,PHYS,Russian Federation,124
2019,PHYS,Saudi Arabia,43
2018,PHYS,Serbia,145
2019,PHYS,Serbia,117
2020,PHYS,Serbia,91
2022,PHYS,Serbia,63
2018,ENGI,Sierra Leone,1
2019,CHEM,Singapore,4
2020,MEDI,Singapore,45
2020,SOCI,Singapore,4
2021,PHYS,Singapore,6
2023,ENVI,Singapore,8
2023,PSYC,Slovakia,3
2019,MEDI,South Africa,13
2019,MEDI,South Africa,13
2021,IMMU,South Africa,7
2021,PSYC,South Africa,4
2018,PHYS,South Korea,151
2018,PHYS,South Korea,151
2018,PHYS,South Korea,151
2020,ENER,South Korea,4
2021,EART,South Korea,8
2021,ENER,South Korea,7
2023,DECI,South Korea,1
2023,ENER,South Korea,3
2018,PHYS,Spain,149
2019,PHYS,Spain,121
2021,MATH,Spain,3
2022,SOCI,Spain,4
2022,SOCI,Spain,4
2020,PHYS,Sri Lanka,89
2022,PHYS,Sri Lanka,63
2023,PHYS,Sri Lanka,30
2019,IMMU,Sweden,2
2020,MEDI,Sweden,10
2018,PHYS,Switzerland,150
2018,PHYS,Switzerland,150
2020,PHYS,Switzerland,97
2018,PHYS,Taiwan,150
2020,BIOC,Taiwan,10
2021,BIOC,Taiwan,20
2021,PHYS,Taiwan,89
2022,CHEM,Taiwan,10
2022,PHYS,Taiwan,73
2023,MEDI,Taiwan,44
2018,AGRI,Thailand,235
2018,AGRI,Thailand,235
2018,BIOC,Thailand,326
2018,CENG,Thailand,192
2018,COMP,Thailand,213
2018,DENT,Thailand,55
2018,EART,Thailand,93
2018,ENER,Thailand,86
2018,ENGI,Thailand,417
2018,ENGI,Thailand,417
2018,ENGI,Thailand,417
2018,MATH,Thailand,83
2018,MATH,Thailand,83
2018,MATH,Thailand,83
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MULT,Thailand,81
2018,NEUR,Thailand,82
2018,NEUR,Thailand,82
2018,NURS,Thailand,38
2018,SOCI,Thailand,139
2019,AGRI,Thailand,223
2019,BIOC,Thailand,364
2019,BIOC,Thailand,364
2019,CHEM,Thailand,308
2019,CHEM,Thailand,308
2019,COMP,Thailand,303
2019,COMP,Thailand,303
2019,ENGI,Thailand,482
2019,ENGI,Thailand,482
2019,ENVI,Thailand,214
2019,IMMU,Thailand,151
2019,MATE,Thailand,298
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MULT,Thailand,91
2019,MULT,Thailand,91
2019,NEUR,Thailand,84
2019,NEUR,Thailand,84
2019,PHYS,Thailand,375
2020,AGRI,Thailand,309
2020,CENG,Thailand,238
2020,CENG,Thailand,238
2020,CHEM,Thailand,319
2020,CHEM,Thailand,319
2020,CHEM,Thailand,319
2020,ENER,Thailand,194
2020,ENER,Thailand,194
2020,ENER,Thailand,194
2020,ENGI,Thailand,505
2020,ENVI,Thailand,285
2020,ENVI,Thailand,285
2020,ENVI,Thailand,285
2020,IMMU,Thailand,179
2020,MATE,Thailand,350
2020,MATE,Thailand,350
2020,MATE,Thailand,350
2020,MATH,Thailand,110
2020,MEDI,Thailand,862
2020,NEUR,Thailand,73
2020,NEUR,Thailand,73
2020,PHYS,Thailand,342
2020,PHYS,Thailand,342
2020,PSYC,Thailand,31
2020,SOCI,Thailand,168
2020,SOCI,Thailand,168
2021,AGRI,Thailand,331
2021,BIOC,Thailand,453
2021,BIOC,Thailand,453
2021,BIOC,Thailand,453
2021,BIOC,Thailand,453
2021,CENG,Thailand,311
2021,CHEM,Thailand,433
2021,CHEM,Thailand,433
2021,CHEM,Thailand,433
2021,CHEM,Thailand,433
2021,COMP,Thailand,267
2021,COMP,Thailand,267
2021,COMP,Thailand,267
2021,DECI,Thailand,29
2021,DENT,Thailand,76
2021,ECON,Thailand,65
2021,ECON,Thailand,65
2021,ENGI,Thailand,514
2021,ENVI,Thailand,333
2021,ENVI,Thailand,333
2021,ENVI,Thailand,333
2021,MATE,Thailand,345
2021,MATE,Thailand,345
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MULT,Thailand,241
2021,PHAR,Thailand,183
2021,PHYS,Thailand,365
2021,PHYS,Thailand,365
2021,PHYS,Thailand,365
2021,PHYS,Thailand,365
2022,AGRI,Thailand,422
2022,AGRI,Thailand,422
2022,AGRI,Thailand,422
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,CENG,Thailand,335
2022,CHEM,Thailand,447
2022,CHEM,Thailand,447
2022,COMP,Thailand,380
2022,COMP,Thailand,380
2022,DECI,Thailand,79
2022,EART,Thailand,107
2022,ENGI,Thailand,566
2022,ENGI,Thailand,566
2022,ENVI,Thailand,369
2023,PSYC,New Zealand,2
2022,ENER,Norway,3
2023,PSYC,Norway,2
2018,MEDI,Pakistan,7
2021,PHYS,Pakistan,83
2021,PHYS,Pakistan,83
2021,PSYC,Pakistan,4
2023,SOCI,Pakistan,5
2023,PSYC,Peru,2
2018,MEDI,Philippines,16
2018,MEDI,Poland,6
2021,PHYS,Poland,84
2023,PHYS,Poland,34
2020,PHYS,Portugal,93
2022,PHYS,Puerto Rico,29
2018,PHYS,Qatar,121
2019,PHYS,Qatar,59
2018,BIOC,Romania,1
2019,BIOC,Russian Federation,3
2019,PHYS,Russian Federation,124
2020,PHYS,Russian Federation,97
2022,PHAR,Russian Federation,2
2018,PHYS,Saudi Arabia,70
2018,PHYS,Saudi Arabia,70
2020,MEDI,Saudi Arabia,13
2021,NURS,Saudi Arabia,3
2023,MEDI,Saudi Arabia,15
2022,ENGI,Serbia,8
2022,MULT,Serbia,2
2022,PHYS,Serbia,63
2020,NEUR,Singapore,2
2022,ARTS,Singapore,4
2023,MEDI,Singapore,47
2023,MEDI,Singapore,47
2020,MATH,Slovakia,2
2022,PSYC,Slovakia,4
2019,BIOC,South Africa,1
2022,IMMU,South Africa,3
2022,IMMU,South Africa,3
2019,ECON,South Korea,1
2019,MEDI,South Korea,32
2021,PHYS,South Korea,86
2023,NEUR,South Korea,11
2020,PHYS,South Korea,96
2022,SOCI,South Korea,3
2023,PHYS,South Korea,36
2018,HEAL,Spain,1
2018,PHYS,Spain,149
2018,PHYS,Spain,149
2019,PHYS,Spain,121
2019,PHYS,Spain,121
2021,MEDI,Spain,37
2021,PSYC,Spain,5
2022,MULT,Spain,6
2022,PHYS,Spain,72
2018,PHYS,Sri Lanka,100
2019,PHYS,Sri Lanka,93
2021,PHYS,Sri Lanka,74
2022,PHYS,Sri Lanka,63
2023,CHEM,Sri Lanka,3
2021,CHEM,Sweden,12
2022,EART,Sweden,2
2019,MATE,Switzerland,2
2020,MEDI,Switzerland,17
2022,PHYS,Switzerland,67
2018,PHYS,Taiwan,150
2019,PHYS,Taiwan,118
2019,PHYS,Taiwan,118
2021,ENER,Taiwan,17
2021,ENGI,Taiwan,27
2021,MEDI,Taiwan,52
2022,PHYS,Taiwan,73
2023,BIOC,Taiwan,22
2018,AGRI,Thailand,235
2018,BIOC,Thailand,326
2018,CHEM,Thailand,282
2018,ENER,Thailand,86
2018,ENGI,Thailand,417
2018,ENGI,Thailand,417
2018,ENGI,Thailand,417
2018,ENVI,Thailand,167
2018,ENVI,Thailand,167
2018,ENVI,Thailand,167
2018,MATH,Thailand,83
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,MEDI,Thailand,692
2018,NURS,Thailand,38
2018,SOCI,Thailand,139
2018,SOCI,Thailand,139
2018,VETE,Thailand,56
2019,BIOC,Thailand,364
2019,BIOC,Thailand,364
2019,CENG,Thailand,213
2019,CENG,Thailand,213
2019,COMP,Thailand,303
2019,COMP,Thailand,303
2019,ECON,Thailand,46
2019,ECON,Thailand,46
2019,ENER,Thailand,150
2019,ENER,Thailand,150
2019,ENER,Thailand,150
2019,ENER,Thailand,150
2019,ENGI,Thailand,482
2019,ENGI,Thailand,482
2019,ENGI,Thailand,482
2019,ENVI,Thailand,214
2019,IMMU,Thailand,151
2019,IMMU,Thailand,151
2019,MATH,Thailand,110
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MEDI,Thailand,767
2019,MULT,Thailand,91
2019,PHYS,Thailand,375
2019,PHYS,Thailand,375
2019,PHYS,Thailand,375
2019,SOCI,Thailand,147
2020,AGRI,Thailand,309
2020,BIOC,Thailand,371
2020,CHEM,Thailand,319
2020,CHEM,Thailand,319
2020,COMP,Thailand,265
2020,COMP,Thailand,265
2020,EART,Thailand,135
2020,ECON,Thailand,85
2020,ENER,Thailand,194
2020,ENVI,Thailand,285
2020,IMMU,Thailand,179
2020,MATH,Thailand,110
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MEDI,Thailand,862
2020,MULT,Thailand,134
2020,MULT,Thailand,134
2020,MULT,Thailand,134
2020,PHAR,Thailand,172
2020,PHAR,Thailand,172
2020,PHYS,Thailand,342
2020,PHYS,Thailand,342
2020,PHYS,Thailand,342
2020,SOCI,Thailand,168
2020,SOCI,Thailand,168
2020,SOCI,Thailand,168
2021,AGRI,Thailand,331
2021,BIOC,Thailand,453
2021,CENG,Thailand,311
2021,CENG,Thailand,311
2021,CHEM,Thailand,433
2021,CHEM,Thailand,433
2021,COMP,Thailand,267
2021,COMP,Thailand,267
2021,EART,Thailand,132
2021,ENGI,Thailand,514
2021,ENGI,Thailand,514
2021,ENGI,Thailand,514
2021,ENVI,Thailand,333
2021,ENVI,Thailand,333
2021,ENVI,Thailand,333
2021,ENVI,Thailand,333
2021,IMMU,Thailand,209
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MEDI,Thailand,1077
2021,MULT,Thailand,241
2021,NURS,Thailand,65
2021,NURS,Thailand,65
2021,PHYS,Thailand,365
2021,PSYC,Thailand,36
2021,VETE,Thailand,101
2022,AGRI,Thailand,422
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BIOC,Thailand,515
2022,BUSI,Thailand,117
2022,BUSI,Thailand,117
2022,CENG,Thailand,335
2022,CENG,Thailand,335
2022,CHEM,Thailand,447
2022,CHEM,Thailand,447
2022,EART,Thailand,107
2022,ENER,Thailand,247
2022,ENER,Thailand,247
2022,ENGI,Thailand,566
2022,ENGI,Thailand,566
2022,ENGI,Thailand,566
2022,ENGI,Thailand,566
2022,ENGI,Thailand,566
2022,ENVI,Thailand,369
2023,MULT,New Zealand,4
2023,MULT,New Zealand,4
2021,MEDI,North Macedonia,2
2022,CENG,Norway,4
2022,MATH,Norway,1
2020,AGRI,Pakistan,2
2020,COMP,Pakistan,11
2020,ENGI,Pakistan,28
2021,MATE,Pakistan,8
2022,BIOC,Pakistan,15
2022,COMP,Pakistan,27
2022,DECI,Pakistan,2
2022,ENGI,Pakistan,40
2023,ENGI,Pakistan,15
2023,PSYC,Palestine,3
2020,ENVI,Panama,1
2021,MEDI,Peru,6
2019,MEDI,Philippines,24
2019,PHYS,Poland,119
2019,PHYS,Poland,119
2020,MEDI,Poland,10
2018,PHYS,Portugal,146
2021,PHYS,Portugal,77
2023,PSYC,Portugal,7
2018,PHYS,Qatar,121
2020,PHYS,Qatar,47
2020,PHYS,Qatar,47
