year,subject_area_abbrev,country,article_amount
2020,ENVI,Bangladesh,1
2019,PHYS,Belarus,116
2019,PHYS,Belarus,116
2019,PHYS,Belarus,116
2022,ENGI,Belarus,9
2018,MATH,Belgium,5
2020,BIOC,Belgium,8
2020,PHYS,Belgium,96
2021,PHYS,Belgium,87
2023,MEDI,Belgium,17
2018,PHYS,Brazil,147
2020,ENGI,Brazil,18
2020,ENGI,Brazil,18
2021,ENGI,Brazil,22
2021,PHYS,Brazil,84
2023,MEDI,Brazil,43
2018,NEUR,Bulgaria,30
2018,PHAR,Bulgaria,14
2019,PHYS,Bulgaria,117
2021,MEDI,Bulgaria,26
2021,PHYS,Bulgaria,72
2022,NEUR,Bulgaria,20
2022,MATE,Canada,4
2022,PSYC,Canada,7
2023,MEDI,Canada,53
2020,MEDI,Chile,6
2018,CENG,China,10
2018,PHYS,Bulgaria,146
2018,PHYS,China,169
2019,MEDI,China,50
2019,PHYS,China,126
2020,MATE,China,43
2021,ENGI,China,43
2021,MATE,China,39
2021,PHYS,China,113
2022,COMP,China,18
2022,EART,China,14
2023,ENER,China,17
2023,PHAR,China,8
2018,PHYS,Colombia,146
2018,PHYS,Colombia,146
2019,ENGI,Colombia,21
2019,PHYS,Colombia,117
2019,PHYS,Croatia,116
2020,MATH,Croatia,7
2020,PHYS,Croatia,91
2019,PHYS,Cyprus,116
2020,PHYS,Cyprus,91
2020,PHYS,Cyprus,91
2022,PHYS,Cyprus,63
2019,ENGI,Czech Republic,21
2020,PHYS,Czech Republic,91
2022,PHYS,Czech Republic,67
2020,ECON,Denmark,1
2020,MEDI,Denmark,9
2018,PHYS,Ecuador,146
2018,PHYS,Ecuador,146
2021,PHYS,Ecuador,74
2019,PHYS,Estonia,116
2022,BIOC,Ethiopia,1
2019,ENGI,Finland,21
2020,PHYS,Finland,91
2021,PHYS,Finland,81
2018,ENVI,France,4
2019,BIOC,France,13
2019,EART,France,5
2019,PHYS,France,122
2022,PHYS,France,75
2023,MEDI,France,37
2019,MATH,Georgia,3
2020,PHYS,Georgia,88
2018,ENGI,Germany,21
2018,MEDI,Germany,18
2018,PHYS,Germany,160
2019,MATE,Germany,9
2020,PHYS,Germany,107
2020,PHYS,Germany,107
2021,AGRI,Germany,14
2021,ENGI,Germany,18
2021,ENGI,Germany,18
2022,PHYS,Germany,81
2023,MATE,Germany,6
2023,PHYS,Germany,37
2023,BIOC,Greece,4
2023,MEDI,Greece,11
2018,PHYS,Hungary,146
2020,ENGI,India,29
2021,ENVI,India,31
2021,MATE,India,25
2022,MATE,India,32
2018,PHAR,Indonesia,2
2019,BIOC,Indonesia,14
2020,MEDI,Indonesia,34
2023,ENGI,Indonesia,10
2019,PHYS,Iran,118
2020,ENGI,Iran,29
2020,PHYS,Iran,95
2020,PHYS,Iran,95
2023,SOCI,Iran,1
2018,MATH,Ireland,4
2018,PHYS,Ireland,147
2018,PHYS,Ireland,147
2019,ENGI,Ireland,21
2019,PHYS,Ireland,117
2021,PHYS,Ireland,75
2022,PHYS,Ireland,64
2018,PHYS,Italy,152
2019,CENG,Italy,1
2021,PHYS,Italy,88
2021,PHYS,Italy,88
2023,PHYS,Italy,39
2018,COMP,Japan,22
2019,BIOC,Japan,44
2019,EART,Japan,20
2019,PHYS,Japan,49
2020,CHEM,Japan,47
2020,CHEM,Japan,47
2020,MEDI,Japan,68
2021,AGRI,Japan,34
2021,BIOC,Japan,47
2021,ENGI,Japan,54
2021,PHYS,Japan,32
2022,BIOC,Japan,45
2022,DENT,Japan,10
2022,ENGI,Japan,71
2022,MATE,Japan,54
2022,MULT,Japan,34
2022,SOCI,Japan,27
2023,ENGI,Japan,51
2023,MEDI,Japan,64
2023,PHYS,Japan,26
2021,PHYS,Kuwait,49
2018,PHYS,Latvia,144
2018,PHYS,Latvia,144
2020,PHYS,Lithuania,91
2020,PHYS,Lithuania,91
2023,PHYS,Lithuania,30
2020,MEDI,Malawi,2
2021,IMMU,Malawi,1
2018,COMP,Malaysia,1
2020,MULT,Malaysia,7
2022,CHEM,Malaysia,27
2022,CHEM,Malaysia,27
2022,PHAR,Malaysia,7
2023,ENER,Malaysia,15
2023,MEDI,Malaysia,40
2023,PHAR,Malaysia,5
2018,PHYS,Mexico,148
2018,PHYS,Mexico,148
2019,PHYS,Mexico,118
2020,PHYS,Mexico,94
2021,ENVI,Mexico,9
2021,NEUR,Mexico,7
2023,AGRI,Mexico,3
2022,PHYS,Montenegro,59
2022,PHYS,Montenegro,59
2020,AGRI,Myanmar,8
2020,MULT,Myanmar,2
2022,AGRI,Myanmar,5
2021,EART,Namibia,1
2022,VETE,Netherlands,3
2018,ENGI,New Zealand,21
2019,PHYS,New Zealand,116
2020,SOCI,New Zealand,5
2021,NEUR,New Zealand,3
2021,PHYS,New Zealand,73
2021,PHYS,New Zealand,73
2022,BIOC,New Zealand,3
2022,MULT,New Zealand,5
2022,PHYS,New Zealand,63
2022,MEDI,Algeria,5
2020,BIOC,Angola,1
2018,ENGI,Armenia,19
2018,PHYS,Armenia,147
2019,PHYS,Armenia,116
2019,PHYS,Armenia,116
2020,PHYS,Armenia,91
2018,ECON,Australia,1
2018,IMMU,Australia,10
2018,PHYS,Australia,66
2019,PHYS,Australia,61
2019,PHYS,Australia,61
2020,ENER,Australia,4
2020,MEDI,Australia,90
2022,ENER,Australia,9
2022,MEDI,Australia,96
2023,CHEM,Australia,7
2023,MATE,Australia,4
2023,SOCI,Australia,17
2018,PHYS,Austria,147
2019,PHYS,Austria,117
2020,ENGI,Austria,17
2020,PHYS,Austria,93
2023,BIOC,Austria,5
2023,COMP,Austria,3
2023,MATE,Austria,3
2018,PHAR,Bahrain,1
2020,PHYS,Belarus,91
2023,PHYS,Belarus,3
2018,IMMU,Belgium,3
2018,MATH,Belgium,5
2018,PHYS,Belgium,152
2019,MATH,Belgium,6
2019,PHYS,Belgium,122
2020,PHYS,Belgium,96
2020,PHYS,Belgium,96
2021,EART,Belgium,3
2021,MEDI,Brazil,49
2021,PHYS,Brazil,84
2021,PSYC,Brazil,10
2023,PHYS,Brazil,31
2023,MEDI,Brunei Darussalam,1
2018,NEUR,Bulgaria,30
2020,MATH,Bulgaria,7
2020,MEDI,Bulgaria,16
2020,PHYS,Bulgaria,91
2022,MEDI,Bulgaria,26
2022,PHYS,Bulgaria,63
2023,MEDI,Bulgaria,25
2018,MEDI,Cambodia,4
2019,EART,Cambodia,2
2018,AGRI,Canada,4
2019,NEUR,Canada,11
2020,NEUR,Canada,10
2021,ENGI,Canada,3
2023,PHYS,Chile,8
2019,PHYS,Brazil,118
2018,PHYS,China,169
2019,AGRI,China,16
2019,ENER,China,16
2019,PHYS,China,126
2019,PHYS,China,126
2020,ENGI,China,60
2020,PHAR,China,5
2021,AGRI,China,18
2021,CENG,China,34
2021,CHEM,China,46
2021,COMP,China,9
2021,MATE,China,39
2022,MEDI,China,66
2022,PHYS,China,96
2018,PHYS,Colombia,146
2018,PHYS,Colombia,146
2019,MATH,Colombia,3
2020,PHYS,Colombia,91
2018,PHYS,Croatia,148
2018,PHYS,Croatia,148
2019,ENGI,Croatia,21
2019,PHYS,Croatia,116
2020,PHYS,Croatia,91
2021,MEDI,Croatia,4
2018,PHYS,Cyprus,147
2018,PHYS,Cyprus,147
2019,PHYS,Cyprus,116
2020,PHYS,Cyprus,91
2018,PHYS,Czech Republic,146
2018,PHYS,Czech Republic,146
2019,PHYS,Czech Republic,116
2019,PHYS,Czech Republic,116
2022,DECI,Czech Republic,2
2022,PHYS,Czech Republic,67
2022,BIOC,Democratic Republic Congo,1
2018,ENGI,Ecuador,19
2018,ENGI,Ecuador,19
2018,PHYS,Ecuador,146
2019,PHYS,Ecuador,116
2020,PHYS,Egypt,91
2021,PHYS,Egypt,72
2022,ENGI,Egypt,13
2022,MEDI,Egypt,14
2022,PHYS,Egypt,63
2022,PHYS,Egypt,63
2022,PHYS,Egypt,63
2023,PHYS,Egypt,30
2021,PHYS,Estonia,74
2023,ENGI,Estonia,5
2019,PHYS,Finland,117
2020,PHYS,Finland,91
2018,IMMU,France,6
2018,MEDI,France,23
2019,COMP,France,5
2020,PHYS,France,105
2021,BIOC,France,13
2023,PHYS,France,37
2018,PHYS,Georgia,145
2019,PHYS,Georgia,117
2020,ENGI,Georgia,12
2020,PHYS,Georgia,88
2020,PHYS,Georgia,88
2020,PHYS,Georgia,88
2018,CHEM,Germany,6
2018,PHYS,Germany,160
2018,PHYS,Germany,160
2019,PHYS,Germany,123
2020,EART,Germany,15
2020,MEDI,Germany,27
2021,PHYS,Germany,90
2022,AGRI,Germany,10
2023,CENG,Germany,10
2018,PHYS,Greece,151
2022,PHYS,Greece,65
2022,PHYS,Greece,65
2022,PHYS,Greece,65
2021,ENVI,Hong Kong,5
2022,ENVI,Hong Kong,8
2018,PHYS,Hungary,146
2018,PHYS,Hungary,146
2021,ENGI,Hungary,14
2022,BIOC,Iceland,2
2018,PHYS,India,148
2020,IMMU,India,7
2020,MATE,India,15
2020,MATH,India,9
2021,COMP,India,7
2021,ENGI,India,33
2022,CHEM,India,37
2023,MEDI,India,58
2018,AGRI,Indonesia,4
2020,ENGI,Indonesia,9
2020,PHAR,Indonesia,4
2021,SOCI,Indonesia,10
2022,MULT,Indonesia,10
2018,ENGI,Iran,20
2018,PHYS,Iran,146
2018,PHYS,Iran,146
2019,PHYS,Iran,118
2019,PHYS,Iran,118
2020,ENGI,Iran,29
2020,PHYS,Iran,95
2020,PHYS,Iran,95
2021,MEDI,Iran,12
2022,AGRI,Iran,27
2023,ENER,Iran,1
2023,PHYS,Iran,32
2022,BIOC,Iraq,6
2018,PHYS,Ireland,147
2018,PHYS,Ireland,147
2019,PHYS,Ireland,117
2019,PHYS,Ireland,117
2019,PHYS,Ireland,117
2020,MEDI,Ireland,11
2020,PHYS,Ireland,91
2021,ENGI,Ireland,14
2021,MATH,Ireland,3
2022,CHEM,Ireland,1
2018,EART,Italy,7
2018,NEUR,Italy,4
2019,ENGI,Italy,21
2019,PHYS,Italy,124
2021,PHYS,Italy,88
2022,PHYS,Italy,75
2022,PHYS,Italy,75
2023,PHYS,Italy,39
2018,EART,Japan,30
2019,BIOC,Japan,44
2019,MEDI,Japan,78
2021,BIOC,Japan,47
2021,BIOC,Japan,47
2022,CENG,Japan,36
2022,MEDI,Japan,62
2023,AGRI,Japan,31
2023,BIOC,Japan,41
2023,EART,Japan,15
2022,PSYC,Kazakhstan,4
2019,SOCI,Kenya,1
2022,PHYS,Latvia,65
2018,MEDI,Lebanon,1
2018,PHYS,Lithuania,146
2018,PHYS,Lithuania,146
2018,PHYS,Lithuania,146
2019,PHYS,Lithuania,117
2021,PHYS,Lithuania,72
2022,MATH,Lithuania,2
2018,PHYS,Malaysia,148
2018,PHYS,Malaysia,148
2019,MATE,Malaysia,2
2019,PHYS,Malaysia,121
2020,PHYS,Malaysia,98
2021,BIOC,Malaysia,16
2021,PSYC,Malaysia,5
2022,CHEM,Malaysia,27
2022,CHEM,Malaysia,27
2022,ENER,Malaysia,24
2022,MEDI,Malaysia,47
2023,ENER,Malaysia,15
2021,MEDI,Mexico,13
2021,MEDI,Mexico,13
2021,ENGI,Montenegro,13
2023,PHYS,Montenegro,29
2021,AGRI,Myanmar,6
2022,AGRI,Nepal,2
2018,PHAR,Netherlands,6
2021,PHYS,Netherlands,8
2022,MEDI,Netherlands,40
2019,PHYS,New Zealand,116
2018,ENGI,Argentina,2
2021,MULT,Argentina,1
2022,ENGI,Armenia,12
2023,ENGI,Armenia,5
2023,PHYS,Armenia,30
2018,MEDI,Australia,51
2018,PHAR,Australia,25
2019,MEDI,Australia,71
2019,NEUR,Australia,28
2019,PHYS,Australia,61
2019,PSYC,Australia,4
2020,MEDI,Australia,90
2021,BIOC,Australia,34
2021,ENGI,Australia,21
2021,IMMU,Australia,12
2021,MEDI,Australia,106
2021,PHYS,Australia,78
2022,PHYS,Australia,54
2022,SOCI,Australia,19
2023,NEUR,Australia,16
2018,PHYS,Austria,147
2018,PHYS,Austria,147
2019,PHYS,Austria,117
2020,PHYS,Austria,93
2020,PHYS,Austria,93
2021,MEDI,Austria,13
2022,MEDI,Austria,12
2020,MEDI,Azerbaijan,1
2018,MULT,Belgium,1
2018,PHYS,Belgium,152
2018,PHYS,Belgium,152
2019,IMMU,Belgium,4
2020,ENGI,Belgium,17
2020,PHYS,Belgium,96
2021,PHYS,Belgium,87
2022,PHYS,Belgium,70
2023,CENG,Belgium,1
2023,NEUR,Belgium,1
2020,MEDI,Botswana,2
2020,MATH,Brazil,7
2020,PHYS,Brazil,94
2022,PHYS,Brazil,69
2022,PHYS,Brazil,69
2018,ENGI,Bulgaria,19
2018,NEUR,Bulgaria,30
2018,PHYS,Bulgaria,146
2020,MEDI,Bulgaria,16
2022,DECI,Bulgaria,3
2022,MULT,Cambodia,3
2019,PHYS,Canada,3
2021,NEUR,Canada,11
2018,PHYS,China,169
2020,CHEM,China,40
2020,ENGI,China,60
2020,PHYS,China,121
2021,CHEM,China,46
2021,PHYS,China,113
2022,ENVI,China,24
2022,MEDI,China,66
2023,SOCI,China,8
2018,PHYS,Croatia,148
2020,PHYS,Croatia,91
2021,PHYS,Cyprus,72
2022,ENGI,Cyprus,8
2022,NEUR,Cyprus,1
2018,PHYS,Czech Republic,146
2018,PHYS,Czech Republic,146
2018,PHYS,Czech Republic,146
2018,PHYS,Czech Republic,146
2018,PHYS,Czech Republic,146
2021,PHYS,Czech Republic,80
2022,MEDI,Czech Republic,4
2021,CENG,Denmark,5
2021,PSYC,Denmark,6
2018,PHYS,Ecuador,146
2018,PHYS,Ecuador,146
2019,PHYS,Ecuador,116
2020,ENGI,Ecuador,14
2020,ENGI,Ecuador,14
2021,PHYS,Ecuador,74
2023,MEDI,Ecuador,3
2023,PHYS,Ecuador,30
2019,AGRI,Egypt,1
2020,PHYS,Egypt,91
2023,MEDI,Egypt,9
2018,PHYS,Estonia,146
2020,MATH,Estonia,7
2020,PHYS,Estonia,91
2018,PHYS,Finland,146
2019,PHYS,Finland,117
2020,ENGI,Finland,17
2021,ENGI,Finland,16
2021,MEDI,Finland,2
2022,PHYS,Finland,66
2018,BIOC,France,7
2018,IMMU,France,6
2019,CHEM,France,8
2020,MATE,France,6
2020,PHYS,France,105
